review_id,product_id,customer_id,rating,review_date
1,26,3,3,2020-06-01
2,4,65,4,2020-06-03
3,34,4,5,2020-06-05
4,48,99,2,2020-06-07
5,18,96,2,2020-06-09
6,40,64,4,2020-06-11
7,35,98,1,2020-06-13
8,41,89,5,2020-06-15
9,29,10,2,2020-06-17
10,29,21,5,2020-06-19
11,38,46,2,2020-06-21
12,42,91,5,2020-06-23
13,21,27,3,2020-06-25
14,42,66,2,2020-06-27
15,13,41,5,2020-06-29
16,49,13,1,2020-07-01
17,41,9,3,2020-07-03
18,17,36,3,2020-07-05
19,9,86,1,2020-07-07
20,41,90,5,2020-07-09
21,1,58,4,2020-07-11
22,2,54,1,2020-07-13
23,48,12,5,2020-07-15
24,29,81,1,2020-07-17
25,33,78,1,2020-07-19
26,10,14,2,2020-07-21
27,50,34,5,2020-07-23
28,40,53,4,2020-07-25
29,21,20,2,2020-07-27
30,28,75,1,2020-07-29
31,11,16,1,2020-07-31
32,34,95,1,2020-08-02
33,8,70,5,2020-08-04
34,22,56,5,2020-08-06
35,8,83,2,2020-08-08
36,49,58,4,2020-08-10
37,15,4,2,2020-08-12
38,17,4,3,2020-08-14
39,23,20,1,2020-08-16
40,24,10,1,2020-08-18
41,45,24,1,2020-08-20
42,19,99,2,2020-08-22
43,5,26,2,2020-08-24
44,32,37,1,2020-08-26
45,44,85,2,2020-08-28
46,1,54,5,2020-08-30
47,23,21,5,2020-09-01
48,37,74,2,2020-09-03
49,8,38,1,2020-09-05
50,13,46,2,2020-09-07
51,8,4,2,2020-09-09
52,23,60,2,2020-09-11
53,43,57,3,2020-09-13
54,1,45,5,2020-09-15
55,45,20,4,2020-09-17
56,24,17,4,2020-09-19
57,35,71,3,2020-09-21
58,24,4,2,2020-09-23
59,17,93,3,2020-09-25
60,5,14,3,2020-09-27
61,20,3,1,2020-09-29
62,21,88,5,2020-10-01
63,40,80,4,2020-10-03
64,31,58,2,2020-10-05
65,46,55,4,2020-10-07
66,36,4,4,2020-10-09
67,11,24,5,2020-10-11
68,15,34,4,2020-10-13
69,19,30,4,2020-10-15
70,7,82,3,2020-10-17
71,28,19,5,2020-10-19
72,43,31,1,2020-10-21
73,5,60,2,2020-10-23
74,5,60,4,2020-10-25
75,30,19,2,2020-10-27
76,32,49,1,2020-10-29
77,8,63,2,2020-10-31
78,10,83,1,2020-11-02
79,38,22,3,2020-11-04
80,47,24,4,2020-11-06
81,32,76,1,2020-11-08
82,48,30,2,2020-11-10
83,28,58,4,2020-11-12
84,17,31,3,2020-11-14
85,31,100,4,2020-11-16
86,8,64,1,2020-11-18
87,40,19,3,2020-11-20
88,25,48,2,2020-11-22
89,9,45,3,2020-11-24
90,2,100,3,2020-11-26
91,15,94,5,2020-11-28
92,50,55,3,2020-11-30
93,3,55,3,2020-12-02
94,49,97,4,2020-12-04
95,36,18,2,2020-12-06
96,4,63,4,2020-12-08
97,14,92,4,2020-12-10
98,41,47,1,2020-12-12
99,41,75,4,2020-12-14
100,25,57,5,2020-12-16
101,50,45,5,2020-12-18
102,10,33,1,2020-12-20
103,21,17,2,2020-12-22
104,36,70,2,2020-12-24
105,12,4,4,2020-12-26
106,27,20,4,2020-12-28
107,40,47,4,2020-12-30
108,2,91,2,2021-01-01
109,13,15,3,2021-01-03
110,32,70,5,2021-01-05
111,31,47,3,2021-01-07
112,16,78,3,2021-01-09
113,32,75,2,2021-01-11
114,32,9,3,2021-01-13
115,34,90,1,2021-01-15
116,11,16,4,2021-01-17
117,10,69,1,2021-01-19
118,15,61,5,2021-01-21
119,17,10,4,2021-01-23
120,40,50,3,2021-01-25
121,18,3,5,2021-01-27
122,9,77,4,2021-01-29
123,25,94,3,2021-01-31
124,40,70,1,2021-02-02
125,14,81,4,2021-02-04
126,25,51,3,2021-02-06
127,50,19,1,2021-02-08
128,22,42,5,2021-02-10
129,30,35,5,2021-02-12
130,20,46,5,2021-02-14
131,21,26,5,2021-02-16
132,44,69,2,2021-02-18
133,32,93,4,2021-02-20
134,46,64,4,2021-02-22
135,49,37,2,2021-02-24
136,21,84,3,2021-02-26
137,35,49,3,2021-02-28
138,32,21,5,2021-03-02
139,30,74,1,2021-03-04
140,39,64,3,2021-03-06
141,49,5,1,2021-03-08
142,12,100,4,2021-03-10
143,41,70,1,2021-03-12
144,47,90,4,2021-03-14
145,18,4,2,2021-03-16
146,21,39,2,2021-03-18
147,13,35,5,2021-03-20
148,21,1,3,2021-03-22
149,8,24,5,2021-03-24
150,46,57,4,2021-03-26
151,40,100,5,2021-03-28
152,46,70,1,2021-03-30
153,7,41,4,2021-04-01
154,23,54,2,2021-04-03
155,44,46,3,2021-04-05
156,32,60,4,2021-04-07
157,11,60,4,2021-04-09
158,22,57,1,2021-04-11
159,22,31,3,2021-04-13
160,43,84,2,2021-04-15
161,25,24,4,2021-04-17
162,22,89,4,2021-04-19
163,28,36,1,2021-04-21
164,29,85,5,2021-04-23
165,13,30,2,2021-04-25
166,18,24,3,2021-04-27
167,2,30,4,2021-04-29
168,29,86,4,2021-05-01
169,21,92,2,2021-05-03
170,15,7,5,2021-05-05
171,27,35,4,2021-05-07
172,50,55,2,2021-05-09
173,31,92,1,2021-05-11
174,15,14,5,2021-05-13
175,23,10,3,2021-05-15
176,24,80,4,2021-05-17
177,44,16,2,2021-05-19
178,13,54,1,2021-05-21
179,22,95,3,2021-05-23
180,43,89,2,2021-05-25
181,37,77,2,2021-05-27
182,33,70,3,2021-05-29
183,3,44,1,2021-05-31
184,19,73,1,2021-06-02
185,23,45,5,2021-06-04
186,29,100,4,2021-06-06
187,30,56,3,2021-06-08
188,39,84,3,2021-06-10
189,44,82,3,2021-06-12
190,47,57,1,2021-06-14
191,25,21,4,2021-06-16
192,37,68,5,2021-06-18
193,47,50,2,2021-06-20
194,8,33,2,2021-06-22
195,42,91,3,2021-06-24
196,16,7,4,2021-06-26
197,8,70,1,2021-06-28
198,1,15,4,2021-06-30
199,44,82,4,2021-07-02
200,5,32,1,2021-07-04
